02-11,-4.1,0.9,5.8,5.2,11.3,18.4,0.0,0.0,3.3,0,78
03-11,-11.6,-0.6,5.4,-0.8,9.3,20.0,0.0,0.1,4.5,0,87
04-11,-12.6,-0.2,6.4,-1.2,10.7,19.9,0.0,0.1,0.4,10,88
05-11,-11.6,-0.7,5.4,4.5,11.3,18.5,0.0,0.1,0.1,0,88
06-11,-2.8,1.2,8.3,5.9,12.7,19.6,0.0,0.1,0.8,0,84
07-11,-5.2,1.7,8.8,2.8,11.1,20.3,0.0,0.1,4.5,277,85
08-11,-6.7,2.1,7.7,6.7,11.0,16.8,0.0,0.1,7.2,580,89
09-11,-5.5,1.3,7.3,6.9,11.0,17.6,0.0,0.1,6.2,480,95
10-11,-7.3,1.3,9.2,5.0,9.2,15.1,0.0,0.1,3.1,265,79
11-11,-7.4,0.2,7.7,5.8,9.3,16.8,0.0,0.1,1.7,783,87
12-11,-6.2,-0.9,5.2,2.8,9.3,14.0,0.0,0.1,0.7,560,88
13-11,-6.7,-2.7,1.7,2.4,8.8,16.0,0.0,0.1,3.1,0,78
14-11,-6.2,-1.6,5.4,0.9,8.3,17.0,0.0,0.1,1.8,0,79
15-11,-5.7,-0.5,5.4,3.8,10.0,16.8,0.0,0.1,4.1,0,78
16-11,-5.2,0.3,5.2,6.3,11.9,17.3,0.0,0.1,2.8,0,77
17-11,-4.6,0.5,4.6,4.6,10.8,18.5,0.0,0.1,4.1,448,85
18-11,-4.7,-1.1,4.6,1.1,9.4,17.4,0.0,0.1,1.3,325,85
19-11,-5.1,-1.1,5.0,3.6,9.5,15.1,0.0,0.1,0.5,583,84
20-11,-5.1,-1.7,4.2,5.2,10.2,15.1,0.0,0.1,0.3,415,79
21-11,-6.4,-1.2,4.2,7.2,10.4,14.0,0.0,0.1,2.9,0,79
22-11,-8.3,-1.6,5.4,3.2,9.3,15.6,0.0,0.1,4.0,233,88
23-11,-9.0,-1.1,3.3,-2.1,7.5,15.6,0.0,0.1,5.0,828,98
24-11,-6.9,-1.1,2.8,1.1,8.4,13.2,0.0,0.1,0.3,698,95
25-11,-3.8,-0.2,2.4,3.4,8.4,13.6,0.0,0.1,0.4,260,91
26-11,-2.2,0.6,5.0,6.7,9.8,13.9,0.0,0.1,3.7,375,86
27-11,-6.6,-1.7,4.6,3.1,7.2,12.2,0.0,0.1,0.7,210,77
28-11,-7.3,-1.3,5.0,0.4,7.1,14.5,0.0,0.1,2.3,13,75
29-11,-5.8,0.2,7.5,2.1,7.5,12.6,0.0,0.1,0.3,333,74
30-11,-6.0,-0.7,5.6,4.4,8.9,12.8,0.0,0.1,1.0,108,79
01-12,-3.7,0.5,11.5,6.8,10.4,15.3,0.0,0.1,3.4,60,75
02-12,-5.4,0.7,8.3,6.3,10.0,14.0,0.0,0.1,2.8,440,82
03-12,-6.0,1.2,6.5,4.6,9.3,15.3,0.0,0.1,2.4,403,86
04-12,-5.8,-0.4,3.6,4.4,8.6,12.5,0.0,0.1,9.2,450,92
05-12,-7.3,-0.1,6.7,2.1,7.5,12.7,0.0,0.1,0.8,368,90
06-12,-7.4,-0.6,5.0,3.4,8.2,11.8,0.0,0.1,0.9,535,87
07-12,-5.7,-1.1,3.8,-2.7,6.7,15.5,0.0,0.1,0.5,383,86
08-12,-7.0,-0.8,5.0,0.0,6.7,14.3,0.0,0.1,0.0,200,87
09-12,-9.1,-0.9,8.8,1.9,5.8,14.5,0.0,0.1,4.0,30,77
10-12,-9.3,-3.4,1.5,1.5,5.5,8.8,0.0,0.1,5.4,138,83
11-12,-8.9,-2.0,5.6,-4.7,2.9,11.5,0.0,0.1,1.6,0,71
12-12,-6.0,-0.5,5.6,0.0,4.2,12.7,0.0,0.1,2.6,218,77
13-12,-4.9,-2.0,3.8,-1.5,2.6,9.7,0.0,0.1,1.8,190,94
14-12,-9.3,-3.6,1.1,-2.2,2.1,7.9,0.0,0.2,1.5,280,91
15-12,-11.0,-3.5,1.5,-6.0,1.5,7.5,0.0,0.2,1.4,0,88
16-12,-11.9,-3.6,3.6,-5.5,1.7,8.8,0.0,0.2,1.8,78,78
17-12,-9.8,-2.4,5.6,-4.1,1.4,7.9,0.0,0.2,7.4,0,72
18-12,-6.8,-2.9,1.5,-2.1,3.0,8.6,0.0,0.2,5.2,418,74
19-12,-10.6,-3.0,1.9,-1.2,3.3,7.3,0.0,0.2,1.8,600,85
20-12,-12.9,-4.3,0.9,0.9,3.3,7.3,0.0,0.3,4.8,545,93
21-12,-13.0,-4.6,3.6,-3.8,2.2,8.8,0.0,0.3,0.4,203,93
22-12,-11.4,-4.9,1.3,-5.1,1.9,7.3,0.0,0.3,1.2,0,91
23-12,-12.7,-4.1,3.6,-4.8,3.6,11.5,0.0,0.3,0.1,93,86
24-12,-11.1,-3.5,5.8,-1.2,6.0,15.1,0.0,0.3,4.0,498,85
25-12,-11.9,-1.0,8.8,0.7,5.9,13.1,0.0,0.3,5.4,320,81
26-12,-7.3,-0.3,7.1,-3.1,4.0,13.8,0.0,0.3,3.3,220,83
27-12,-7.6,-0.5,6.2,-4.6,3.8,14.0,0.0,0.3,5.7,720,88
28-12,-6.7,-3.4,-0.1,-3.9,1.4,6.0,0.0,0.3,0.3,493,93
29-12,-10.7,-4.0,1.3,-3.5,2.0,8.6,0.0,0.3,0.0,190,82
30-12,-13.9,-6.6,1.7,-3.4,2.6,8.8,0.0,0.4,0.3,195,75
31-12,-14.5,-5.1,7.0,-2.1,4.4,15.8,0.0,0.4,0.2,255,82
01-01,-13.7,-4.6,4.0,-1.0,3.6,10.6,0.0,0.4,3.2,415,85
02-01,-13.5,-3.7,1.1,-4.1,2.5,6.8,0.0,0.4,4.0,130,87
03-01,-15.0,-6.4,-1.3,-1.7,0.1,1.7,0.0,0.4,3.1,350,80
04-01,-13.7,-8.1,-4.0,-2.4,-1.3,0.2,0.0,0.5,1.4,350,85
05-01,-8.6,-4.8,-3.1,-1.4,0.4,3.4,0.0,0.5,1.5,45,84
06-01,-5.1,-2.1,2.3,-1.7,3.4,11.5,0.0,0.5,3.6,0,83
07-01,-6.1,-2.1,4.6,-0.7,6.0,10.5,0.0,0.5,2.5,0,77
08-01,-4.1,-1.7,3.2,1.1,5.5,8.6,0.0,0.5,0.1,0,76
09-01,-7.2,-2.4,2.5,-1.2,5.7,11.0,0.0,0.5,1.0,0,78
10-01,-9.9,-4.1,1.1,-0.3,2.8,5.4,0.0,0.5,0.3,30,74
11-01,-13.1,-5.3,0.2,0.6,2.4,5.0,0.0,0.5,0.4,0,75
12-01,-8.9,-4.4,0.2,-3.1,0.6,3.4,0.0,0.5,2.7,680,81
13-01,-9.5,-3.8,0.2,-1.4,2.5,8.1,0.0,0.5,3.2,348,76
14-01,-2.7,-1.6,-0.6,-0.1,3.2,9.2,0.0,0.2,1.9,20,74
15-01,-5.6,-1.9,-0.3,-1.0,4.3,10.6,0.0,0.2,0.9,110,72
16-01,-6.1,-3.1,-0.8,-0.1,4.2,8.4,0.0,0.2,0.3,265,69
17-01,-7.6,-2.8,0.7,0.4,4.0,8.1,0.0,0.2,0.4,0,74
18-01,-9.8,-4.2,-1.1,1.5,5.9,9.5,0.0,0.4,0.1,0,75
19-01,-7.1,-3.8,-0.7,-1.2,5.4,11.0,0.0,0.4,0.1,3,70
20-01,-7.2,-3.9,-0.1,-0.3,5.9,10.1,0.0,0.4,3.8,0,73
21-01,-6.0,-1.7,2.8,0.4,4.6,9.9,0.0,0.4,3.5,435,82
22-01,-8.4,-2.3,4.4,-2.4,4.5,10.8,0.0,0.4,7.8,573,81
23-01,-9.0,-3.2,0.6,-4.3,1.9,7.3,0.0,0.4,3.5,615,88
24-01,-9.0,-4.9,0.7,-4.2,1.1,8.8,0.0,0.4,2.7,550,83
25-01,-10.4,-7.2,-1.5,-4.2,2.1,8.8,0.0,0.5,0.1,0,74
26-01,-11.6,-6.2,-1.4,-3.4,2.8,8.8,0.0,0.5,7.4,0,74
27-01,-8.8,-5.2,-1.2,-2.1,3.1,8.6,0.0,0.5,0.1,0,78
28-01,-5.7,-3.7,-1.7,-1.7,1.6,5.6,0.0,0.5,0.5,503,93
29-01,-11.9,-5.3,-1.7,-1.4,2.4,7.1,0.0,0.5,4.7,720,93
30-01,-11.9,-4.7,-1.5,-0.7,2.4,6.0,0.0,0.5,3.5,260,83
31-01,-7.8,-4.2,0.6,-1.2,3.3,8.4,0.0,0.5,1.9,170,88
01-02,-8.4,-4.6,-1.5,0.0,3.2,8.8,0.0,0.5,3.2,0,80
02-02,-8.6,-5.7,-0.7,-2.4,2.3,7.7,0.0,0.5,0.0,0,79
03-02,-13.0,-5.1,2.8,-1.4,3.2,6.9,0.0,0.5,0.6,0,68
04-02,-7.3,-3.4,1.7,0.0,4.7,9.0,0.0,0.5,0.2,0,68
05-02,-9.9,-4.2,1.9,2.1,5.7,9.2,0.0,0.5,2.2,245,80
06-02,-10.3,-3.9,-1.3,0.4,7.0,11.2,0.0,0.5,4.1,0,76
07-02,-4.9,-2.1,0.6,0.0,7.1,13.8,0.0,0.5,4.4,15,69
08-02,-6.9,-2.2,0.9,-1.0,4.3,11.9,0.0,0.5,3.8,213,73
09-02,-8.9,-3.6,-0.5,-0.8,4.7,10.6,0.0,0.5,0.4,658,78
10-02,-6.5,-2.9,1.7,-2.1,3.0,8.1,0.0,0.5,3.6,340,77
11-02,-6.3,-2.9,1.1,-0.1,5.4,9.5,0.0,0.5,4.2,0,70
12-02,-8.8,-3.3,1.3,-1.2,4.2,11.5,0.0,0.5,0.9,0,74
13-02,-11.0,-4.0,1.3,-2.2,3.8,9.0,0.0,0.5,3.4,0,79
14-02,-10.7,-4.5,1.9,-3.5,3.7,8.6,0.0,0.5,0.3,18,78
